"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2012","","19.1%"
"Informacion Destacada del turismo internacional","Mundo Entero","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","1035"
"Informacion Destacada del turismo internacional","Mundo Entero","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Trillones de Dólares ","International Tourism Highlights (2012-2019)","2012","","1.3"
"Informacion Destacada del turismo internacional","Mundo Entero","Transporte Internacional de Pasajeros","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","213"
"Informacion Destacada del turismo internacional","Mundo Entero","Ingresos por turismo internacional","Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","1075"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","534"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","163"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","234"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","52"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2012","","52"
"Informacion Destacada del turismo internacional","Europa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","458"
"Informacion Destacada del turismo internacional","Americas","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","213"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","324"
"Informacion Destacada del turismo internacional","Africa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","34"
"Informacion Destacada del turismo internacional","Medio Oriente","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2012","","47"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2012","","52.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2012","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2012","","14.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2012","","7.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2012","","52.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2012","","42.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2012","","6.0%"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2013","","58.2%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","257523.58333333"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","13819"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","12673.166666667"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","144324"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","784.41666666667"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","9093.0833333333"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2013","","76829.916666667"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2013","","6.3%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2013","","36"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2013","","25"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2013","","2895"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2013","","398436"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2013","","3748281"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2013","","1.1"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2013","","19.4%"
"Informacion Destacada del turismo internacional","Mundo Entero","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","1087"
"Informacion Destacada del turismo internacional","Mundo Entero","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Trillones de Dólares ","International Tourism Highlights (2012-2019)","2013","","1.4"
"Informacion Destacada del turismo internacional","Mundo Entero","Transporte Internacional de Pasajeros","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","218"
"Informacion Destacada del turismo internacional","Mundo Entero","Ingresos por turismo internacional","Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","1159"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","563"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","168"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","248"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","56"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2013","","52"
"Informacion Destacada del turismo internacional","Europa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","489"
